LGHC Indicator Name,Geography,Year,Strata,Strata Name,Denominator,Rate,Lower 95% CI,Upper 95% CI,LGHC Indicator ID,LGHC Target Rate
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2001-2002,Race-Ethnicity,African-American,747,8.2,5,11.4,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2001-2002,Race-Ethnicity,Asian/Pacific Islander,1978,13.6,11.2,16,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2001-2002,Race-Ethnicity,Hispanic,3433,14,12.4,15.6,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2001-2002,Race-Ethnicity,White,5477,19.9,17.7,22.1,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2001-2002,Sex,Female,6275,15.8,14.3,17.2,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2001-2002,Sex,Male,5604,16.2,14.7,17.7,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2001-2002,Total population,Total population,11899,16,14.9,17,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2003-2004,Race-Ethnicity,African-American,1054,7.2,5.9,8.5,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2003-2004,Race-Ethnicity,Asian/Pacific Islander,2285,8.4,6.7,10.1,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2003-2004,Race-Ethnicity,Hispanic,4691,13.5,12,15,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2003-2004,Race-Ethnicity,White,6152,15.8,14.8,16.8,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2003-2004,Sex,Female,7688,11.9,10.6,13.2,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2003-2004,Sex,Male,6816,14.4,13.1,15.7,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2003-2004,Total population,Total population,14539,13.2,12.3,14.1,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2005-2006,Race-Ethnicity,African-American,1666,12.7,9.7,15.7,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2005-2006,Race-Ethnicity,Asian/Pacific Islander,4093,10.7,9.3,12.1,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2005-2006,Race-Ethnicity,Hispanic,8331,14.3,13.1,15.5,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2005-2006,Race-Ethnicity,White,9902,18.3,17,19.6,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2005-2006,Sex,Female,12505,13.7,12.9,14.4,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2005-2006,Sex,Male,12274,17.1,16.3,17.9,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2005-2006,Total population,Total population,24779,15.4,14.8,16,13,10
Proportion of High School Students Who Smoked Cigarettes in the Past 30 Days (Out of All High School Students),California,2007-2008,Race-Ethnicity,African-American,1301,11.7,8.8,14.6,13,10
